title,authors,narrators
A Place Called Freedom,['Ken Follett'],['Simon Prebble']
"Lost Hills: Eve Ronin, Book 1",['Lee Goldberg'],['Nicol Zanzarella']
Julia Heaberlin: Audible Sessions: FREE Exclusive Interview,"['Julia Heaberlin', 'Audible']","['Julia Heaberlin', 'Audible']"
Murder on Black Swan Lane,['Andrea Penrose'],['James Cameron Stewart']
"The Black Echo: Harry Bosch Series, Book 1",['Michael Connelly'],['Dick Hill']
The Nanny: A Novel,['Gilly Macmillan'],"['Clare Corbett', 'Patience Tomlinson', 'Ben Eliot']"
Black-Eyed Susans: A Novel of Suspense,['Julia Heaberlin'],"['Whitney Dykhouse', 'Eric G. Dove', 'Karen Peakes']"
Micromegas,['Voltaire'],['Prentice Onayemi']
Meditations of Marcus Aurelius,['Marcus Aurelius'],['Prentice Onayemi']
The Getaway,"['Greer Hendricks', 'Sarah Pekkanen']",['Emily Bauer']
Masked Ball at Broxley Manor: A Royal Spyness Novella,['Rhys Bowen'],['Katherine Kellgren']
"The Black Cat Murders: A Cotswolds Country House Murder (Heathcliff Lennox, Book 2)",['Karen Menuhin'],['Sam Dewhurst-Phillips']
How to Hide an Empire: A History of the Greater United States,['Daniel Immerwahr'],['Luis Moreno']
Cape Cod National Seashore,['Gordon Hempton'],['Non']
Crystal Bowl Breathing,['The Big Quiet'],['Jesse Israel']
The Office,['Whisperlodge'],['Will Watt']
The Perfect Swing,['James McGirk'],['Nick Jonas']
Rest and Digest,['Sara Auster'],['Sara Auster']
The Tales of Beedle the Bard: A Harry Potter Hogwarts Library Book,['J.K. Rowling'],"['Warwick Davis', 'Noma Dumezweni', 'Jason Isaacs', 'Jude Law', 'Evanna Lynch', 'Sally Mortemore', 'Bonnie Wright']"
"Murder at Melrose Court: A Country House Christmas Murder (Heathcliff Lennox Series, Book 1)",['Karen Menuhin'],['Sam Dewhurst-Phillips']
Storytelling with Data: A Data Visualization Guide for Business Professionals,['Cole Nussbaumer Knaflic'],['Cole Nussbaumer Knaflic']
Black Earth: The Holocaust as History and Warning,['Timothy Snyder'],['Mark Bramhall']
36 Books That Changed the World,"['The Great Courses', 'Brad S. Gregory', 'Charles Kimball', 'Daniel N. Robinson', 'Jerry Z. Muller', 'John E. Finn', 'Andrew R. Wilson']","['Andrew R. Wilson', 'Brad S. Gregory', 'Charles Kimball', 'Daniel N. Robinson', 'Jerry Z. Muller', 'John E. Finn']"
The Federalist Papers,"['Alexander Hamilton', 'James Madison', 'John Jay']",['Michael Edwards']
Anna Karenina,['Leo Tolstoy'],['Maggie Gyllenhaal']
The Redbreast,['Jo Nesb�'],['Robin Sachs']
Royal Flush,['Rhys Bowen'],['Katherine Kellgren']
"Until the End of Time: Mind, Matter, and Our Search for Meaning in an Evolving Universe",['Brian Greene'],['Brian Greene']
The Alice Network: A Novel,['Kate Quinn'],['Saskia Maarleveld']
"So, Anyway...",['John Cleese'],['John Cleese']
Postwar: A History of Europe Since 1945,['Tony Judt'],['Ralph Cosham']
The Early Cases of Hercule Poirot,['Agatha Christie'],['Charles Armstrong']
The Hero with a Thousand Faces: The Collected Works of Joseph Campbell,['Joseph Campbell'],"['Arthur Morey', 'John Lee', 'Susan Denaker']"
"The Relic Hunters: The Relic Hunters Series, Book 1",['David Leadbeater'],['Pete Simonelli']
The Hunting Party: A Novel,['Lucy Foley'],"['Gary Furlong', 'Elle Newlands', 'Morag Sims', 'Imogen Church', 'Moira Quirk']"
Rules of Prey: A Lucas Davenport Novel,['John Sandford'],['Richard Ferrone']
The Clockmaker's Daughter,['Kate Morton'],['Joanne Froggatt']
Fascism: A Warning,['Madeleine Albright'],['Madeleine Albright']
Being Mortal: Medicine and What Matters in the End,['Atul Gawande'],['Robert Petkoff']
The Racketeer,['John Grisham'],['JD Jackson']
Information Wars: How We Lost the Global Battle Against Disinformation and What We Can Do About It,['Richard Stengel'],['Christopher Grove']
"Death Beside the Seaside: A Lady Hardcastle Mystery, Book 6",['T E Kinsey'],['Elizabeth Knowelden']
Don't Be Evil: How Big Tech Betrayed Its Founding Principles - and All of Us,['Rana Foroohar'],['Rachel Fulginiti']
"Bad Wolf: Bodenstein & Kirchhoff, Book 2",['Nele Neuhaus'],['Robert Fass']
"On Her Majesty's Frightfully Secret Service: A Royal Spyness Mystery, Book 11",['Rhys Bowen'],['Katherine Kellgren']
Lie to Me,['J. T. Ellison'],"['Matthew Waterson', 'Saskia Maarleveld', 'Sarah Naughton', 'Julia Whelan']"
"Murder at Archly Manor: High Society Lady Detective, Book 1",['Sara Rosett'],['Elizabeth Klett']
